defect_id,asset_id,detected_date,inspection_id,defect_type,severity_level,safety_effect,operational_effect,status,resolved_date
DEF-00170,AST-179,2024-05-21T00:00:00,INS-04017,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2024-05-21T12:44:00
DEF-00171,AST-179,2025-06-15T00:00:00,INS-04030,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-07-02T01:14:00
DEF-00172,AST-179,2026-03-12T00:00:00,INS-04039,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2026-03-28T00:52:00
DEF-00173,AST-181,2023-12-10T00:00:00,INS-04060,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2023-12-23T01:17:00
DEF-00174,AST-181,2025-11-29T00:00:00,INS-04084,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-12-10T01:35:00
DEF-00176,AST-184,2026-05-13T00:00:00,INS-04156,Poor Signal Aspect Visibility,MAJOR,Unstable aspect indication,Block Required,CLOSED,2026-05-20T01:15:00
DEF-00178,AST-187,2025-04-25T00:00:00,INS-04210,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2025-05-04T10:27:00
DEF-00179,AST-188,2024-01-19T00:00:00,INS-04231,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-02-07T01:36:00
DEF-00180,AST-188,2025-02-12T00:00:00,INS-04244,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-03-01T00:54:00
DEF-00185,AST-194,2024-11-03T00:00:00,INS-04351,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2024-11-22T01:08:00
DEF-00186,AST-194,2025-07-31T00:00:00,INS-04360,Poor Signal Aspect Visibility,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2025-08-07T04:05:00
DEF-00187,AST-194,2025-09-29T00:00:00,INS-04362,Poor Signal Aspect Visibility,MAJOR,Unstable aspect indication,Block Required,CLOSED,2025-10-09T01:36:00
DEF-00188,AST-194,2026-04-27T00:00:00,INS-04369,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2026-04-30T01:23:00
DEF-00189,AST-195,2025-01-15T00:00:00,INS-04390,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-02-11T00:51:00
DEF-00190,AST-195,2025-07-14T00:00:00,INS-04396,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-08-02T00:52:00
DEF-00191,AST-195,2025-10-12T00:00:00,INS-04399,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2025-10-31T00:45:00
DEF-00192,AST-195,2026-03-11T00:00:00,INS-04404,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2026-04-02T01:21:00
DEF-00193,AST-200,2023-08-27T00:00:00,INS-04488,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2023-09-27T00:53:00
DEF-00194,AST-200,2024-06-22T00:00:00,INS-04498,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2024-07-17T00:40:00
DEF-00195,AST-200,2025-05-18T00:00:00,INS-04509,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-06-02T00:53:00
DEF-00196,AST-200,2026-05-13T00:00:00,INS-04521,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2026-05-20T02:06:00
DEF-00200,AST-205,2026-04-13T00:00:00,INS-04617,REPETITIVE: Voltage Fluctuation,MINOR,No restriction,,CLOSED,2026-05-07T00:50:00
DEF-00205,AST-210,2024-09-28T00:00:00,INS-04714,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-10-24T01:12:00
DEF-00208,AST-213,2024-05-19T00:00:00,INS-04776,Poor Signal Aspect Visibility,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2024-05-19T12:43:00
DEF-00209,AST-213,2024-08-17T00:00:00,INS-04779,Poor Signal Aspect Visibility,MAJOR,Unstable aspect indication,Block Required,CLOSED,2024-08-22T01:40:00
DEF-00210,AST-213,2025-05-14T00:00:00,INS-04788,REPETITIVE: Poor Signal Aspect Visibility,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2025-05-14T13:24:00
DEF-00211,AST-213,2025-07-13T00:00:00,INS-04790,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2025-07-15T01:44:00
DEF-00212,AST-213,2026-02-08T00:00:00,INS-04797,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2026-02-21T00:33:00
DEF-00213,AST-213,2026-04-09T00:00:00,INS-04799,Poor Signal Aspect Visibility,MAJOR,Unstable aspect indication,Block Required,CLOSED,2026-04-18T01:30:00
DEF-00214,AST-214,2024-01-07T00:00:00,INS-04808,Poor Signal Aspect Visibility,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2024-01-07T14:34:00
DEF-00215,AST-214,2025-05-31T00:00:00,INS-04825,REPETITIVE: Poor Signal Aspect Visibility,MAJOR,Unstable aspect indication,Block Required,CLOSED,2025-06-07T02:05:00
DEF-00216,AST-217,2024-06-20T00:00:00,INS-04874,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-07-20T01:01:00
DEF-00217,AST-217,2026-02-10T00:00:00,INS-04894,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2026-02-15T01:38:00
DEF-00219,AST-221,2023-09-16T00:00:00,INS-04949,REPETITIVE: Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2023-09-16T05:22:00
DEF-00220,AST-221,2024-06-12T00:00:00,INS-04958,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-07-03T01:07:00
DEF-00221,AST-221,2024-11-09T00:00:00,INS-04963,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-12-01T01:30:00
DEF-00222,AST-221,2026-02-02T00:00:00,INS-04978,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2026-02-06T01:24:00
DEF-00223,AST-223,2024-10-06T00:00:00,INS-05016,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-10-29T00:51:00
DEF-00224,AST-223,2024-12-05T00:00:00,INS-05018,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-12-30T01:00:00
DEF-00225,AST-224,2026-01-22T00:00:00,INS-05069,REPETITIVE: Voltage Fluctuation,MINOR,No restriction,,CLOSED,2026-02-03T00:00:00
DEF-00226,AST-224,2026-02-21T00:00:00,INS-05070,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2026-02-26T02:30:00
DEF-00227,AST-226,2025-04-11T00:00:00,INS-05108,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2025-05-10T00:46:00
DEF-00228,AST-226,2025-08-09T00:00:00,INS-05112,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-08-30T00:46:00
DEF-00229,AST-226,2026-06-05T00:00:00,INS-05122,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2026-06-17T01:33:00
DEF-00232,AST-228,2025-02-05T00:00:00,INS-05160,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2025-02-08T13:05:00
DEF-00233,AST-228,2025-03-07T00:00:00,INS-05161,Poor Signal Aspect Visibility,MAJOR,Unstable aspect indication,Block Required,CLOSED,2025-03-14T02:15:00
DEF-00234,AST-228,2026-01-01T00:00:00,INS-05171,REPETITIVE: Poor Signal Aspect Visibility,MAJOR,Unstable aspect indication,Block Required,CLOSED,2026-01-15T01:43:00
DEF-00238,AST-231,2024-02-03T00:00:00,INS-05215,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2024-02-19T00:56:00
DEF-00239,AST-231,2024-11-29T00:00:00,INS-05225,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-12-15T00:50:00
DEF-00240,AST-231,2025-07-27T00:00:00,INS-05233,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-08-06T01:11:00
DEF-00241,AST-231,2026-06-22T00:00:00,INS-05244,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2026-07-03T01:37:00
DEF-00244,AST-233,2023-10-01T00:00:00,INS-05267,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2023-10-24T01:08:00
DEF-00245,AST-233,2024-06-27T00:00:00,INS-05276,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-07-08T01:25:00
DEF-00246,AST-234,2023-08-22T00:00:00,INS-05302,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2023-09-08T00:50:00
DEF-00247,AST-234,2023-12-20T00:00:00,INS-05306,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2023-12-28T01:52:00
DEF-00252,AST-239,2024-09-18T00:00:00,INS-05405,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2024-09-30T01:33:00
DEF-00253,AST-239,2025-10-13T00:00:00,INS-05418,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2025-10-13T15:32:00
DEF-00254,AST-239,2026-03-12T00:00:00,INS-05423,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2026-03-12T08:07:00
DEF-00256,AST-245,2024-12-09T00:00:00,INS-05560,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2024-12-13T01:37:00
DEF-00257,AST-245,2025-05-08T00:00:00,INS-05565,REPETITIVE: Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-05-22T01:37:00
DEF-00258,AST-245,2026-02-02T00:00:00,INS-05574,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2026-02-24T00:34:00
DEF-00262,AST-248,2023-12-06T00:00:00,INS-05615,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2023-12-19T01:17:00
DEF-00263,AST-248,2024-08-02T00:00:00,INS-05623,Poor Signal Aspect Visibility,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2024-08-02T12:56:00
DEF-00264,AST-248,2025-03-30T00:00:00,INS-05631,Poor Signal Aspect Visibility,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2025-03-30T06:32:00
DEF-00266,AST-251,2023-08-19T00:00:00,INS-05678,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2023-08-31T00:00:00
DEF-00267,AST-251,2024-08-13T00:00:00,INS-05690,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2024-08-20T01:29:00
DEF-00268,AST-252,2024-12-23T00:00:00,INS-05730,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-01-13T01:04:00
DEF-00269,AST-252,2025-01-22T00:00:00,INS-05731,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2025-02-09T00:49:00
DEF-00270,AST-252,2025-12-18T00:00:00,INS-05742,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2026-01-01T00:42:00
DEF-00271,AST-255,2024-03-19T00:00:00,INS-05812,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2024-03-31T00:59:00
DEF-00272,AST-255,2024-11-14T00:00:00,INS-05820,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2024-12-01T01:16:00
DEF-00273,AST-256,2025-04-01T00:00:00,INS-05861,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2025-04-01T09:07:00
DEF-00274,AST-256,2026-05-26T00:00:00,INS-05875,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2026-05-26T13:29:00
DEF-00275,AST-257,2023-08-29T00:00:00,INS-05878,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2023-09-19T00:41:00
DEF-00276,AST-257,2025-08-18T00:00:00,INS-05902,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2025-09-03T00:54:00
DEF-00280,AST-260,2024-05-19T00:00:00,INS-05954,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2024-06-01T01:12:00
DEF-00281,AST-260,2024-07-18T00:00:00,INS-05956,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-08-08T00:52:00
DEF-00282,AST-260,2025-07-13T00:00:00,INS-05968,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2025-07-19T02:16:00
DEF-00283,AST-260,2025-10-11T00:00:00,INS-05971,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-11-01T01:11:00
DEF-00284,AST-260,2026-03-10T00:00:00,INS-05976,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2026-04-02T01:17:00
DEF-00287,AST-264,2024-03-18T00:00:00,INS-06025,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2024-03-28T10:04:00
DEF-00288,AST-264,2026-07-06T00:00:00,INS-06053,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2026-07-10T02:33:00
DEF-00289,AST-265,2024-07-20T00:00:00,INS-06065,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2024-07-20T03:00:00
DEF-00293,AST-271,2024-08-28T00:00:00,INS-06199,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2024-09-07T01:34:00
DEF-00294,AST-271,2024-12-26T00:00:00,INS-06203,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2025-01-16T01:29:00
DEF-00295,AST-271,2025-12-21T00:00:00,INS-06215,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2026-01-12T01:07:00
DEF-00296,AST-271,2026-05-20T00:00:00,INS-06220,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2026-05-26T01:32:00
DEF-00297,AST-271,2026-07-19T00:00:00,INS-06222,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2026-07-28T15:16:00
DEF-00298,AST-274,2024-02-10T00:00:00,INS-06265,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-02-20T01:37:00
DEF-00299,AST-274,2024-08-08T00:00:00,INS-06271,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-08-30T01:02:00
DEF-00300,AST-274,2025-07-04T00:00:00,INS-06282,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-08-02T01:11:00
DEF-00301,AST-276,2023-11-11T00:00:00,INS-06317,REPETITIVE: Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2023-11-13T02:05:00
DEF-00304,AST-278,2024-07-21T00:00:00,INS-06375,Poor Signal Aspect Visibility,MAJOR,Unstable aspect indication,Block Required,CLOSED,2024-07-28T02:15:00
DEF-00305,AST-278,2026-01-12T00:00:00,INS-06393,Poor Signal Aspect Visibility,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2026-01-12T12:31:00
DEF-00306,AST-279,2026-01-19T00:00:00,INS-06430,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2026-01-30T00:50:00
DEF-00307,AST-280,2023-11-21T00:00:00,INS-06440,REPETITIVE: Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2023-11-21T05:47:00
DEF-00308,AST-280,2024-06-18T00:00:00,INS-06447,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-07-05T00:34:00
DEF-00309,AST-280,2025-02-13T00:00:00,INS-06455,REPETITIVE: Voltage Fluctuation,MINOR,No restriction,,CLOSED,2025-03-04T00:52:00
DEF-00310,AST-280,2025-09-11T00:00:00,INS-06462,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-09-21T01:24:00
DEF-00311,AST-281,2025-05-23T00:00:00,INS-06495,REPETITIVE: Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2025-05-23T10:22:00
DEF-00314,AST-285,2024-11-14T00:00:00,INS-06568,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-12-01T00:45:00
DEF-00315,AST-285,2026-03-09T00:00:00,INS-06584,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2026-04-10T01:15:00
DEF-00317,AST-288,2025-06-30T00:00:00,INS-06643,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2025-07-10T13:02:00
DEF-00318,AST-288,2025-12-27T00:00:00,INS-06649,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2026-01-17T01:56:00
DEF-00320,AST-290,2024-06-18T00:00:00,INS-06679,Poor Signal Aspect Visibility,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2024-06-25T04:26:00
DEF-00321,AST-290,2024-08-17T00:00:00,INS-06681,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2024-08-28T00:52:00
DEF-00322,AST-290,2026-05-09T00:00:00,INS-06702,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2026-05-29T00:49:00
DEF-00323,AST-291,2024-11-10T00:00:00,INS-06720,REPETITIVE: Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-12-07T01:05:00
DEF-00324,AST-291,2025-11-05T00:00:00,INS-06732,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-11-19T01:39:00
DEF-00326,AST-293,2024-05-21T00:00:00,INS-06762,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2024-05-21T10:31:00
DEF-00331,AST-296,2026-03-21T00:00:00,INS-06851,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2026-03-21T05:01:00
DEF-00332,AST-297,2025-12-23T00:00:00,INS-06885,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2026-01-07T01:01:00
DEF-00334,AST-299,2023-11-24T00:00:00,INS-06908,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2023-12-07T00:30:00
DEF-00335,AST-299,2025-03-18T00:00:00,INS-06924,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2025-03-21T01:23:00
DEF-00336,AST-300,2025-08-22T00:00:00,INS-06966,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2025-08-26T01:59:00
DEF-00337,AST-300,2026-03-20T00:00:00,INS-06973,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2026-03-25T02:08:00
DEF-00339,AST-302,2025-06-20T00:00:00,INS-07012,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-06-30T01:40:00
DEF-00340,AST-302,2025-09-18T00:00:00,INS-07015,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2025-09-21T01:21:00
DEF-00343,AST-304,2024-04-20T00:00:00,INS-07052,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-04-30T00:57:00
DEF-00344,AST-304,2024-09-17T00:00:00,INS-07057,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2024-10-05T01:46:00
DEF-00352,AST-312,2024-09-29T00:00:00,INS-07196,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2024-10-06T01:24:00
DEF-00353,AST-312,2024-10-29T00:00:00,INS-07197,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-11-19T00:52:00
DEF-00354,AST-312,2026-01-22T00:00:00,INS-07212,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2026-01-22T13:52:00
DEF-00355,AST-315,2025-08-21T00:00:00,INS-07292,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-09-14T01:10:00
DEF-00356,AST-316,2024-12-26T00:00:00,INS-07321,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2024-12-26T13:58:00
DEF-00359,AST-320,2026-06-03T00:00:00,INS-07418,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2026-06-13T01:01:00
DEF-00361,AST-322,2023-12-26T00:00:00,INS-07442,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2024-01-10T00:56:00
DEF-00362,AST-322,2025-11-15T00:00:00,INS-07465,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2025-12-03T00:55:00
DEF-00364,AST-325,2024-06-09T00:00:00,INS-07514,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-06-25T00:54:00
DEF-00365,AST-325,2025-09-02T00:00:00,INS-07529,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-09-19T01:23:00
DEF-00366,AST-327,2026-03-30T00:00:00,INS-07591,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2026-04-13T01:09:00
DEF-00372,AST-333,2024-02-18T00:00:00,INS-07700,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2024-02-28T01:33:00
DEF-00373,AST-333,2025-10-10T00:00:00,INS-07720,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-10-29T00:45:00
DEF-00374,AST-333,2026-05-08T00:00:00,INS-07727,REPETITIVE: Voltage Fluctuation,MINOR,No restriction,,CLOSED,2026-05-21T01:22:00
DEF-00378,AST-336,2024-12-18T00:00:00,INS-07770,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-01-08T01:10:00
DEF-00379,AST-338,2024-08-12T00:00:00,INS-07814,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-08-23T01:38:00
DEF-00381,AST-340,2024-05-29T00:00:00,INS-07860,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-06-18T00:59:00
DEF-00382,AST-341,2023-10-25T00:00:00,INS-07889,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2023-10-25T05:59:00
DEF-00383,AST-341,2024-07-21T00:00:00,INS-07898,REPETITIVE: Poor Signal Aspect Visibility,MAJOR,Unstable aspect indication,Block Required,CLOSED,2024-07-31T01:41:00
DEF-00384,AST-341,2025-08-15T00:00:00,INS-07911,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2025-09-01T01:11:00
DEF-00385,AST-342,2025-03-23T00:00:00,INS-07942,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2025-04-02T01:38:00
DEF-00386,AST-342,2025-07-21T00:00:00,INS-07946,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-08-04T00:43:00
DEF-00387,AST-344,2024-05-20T00:00:00,INS-07980,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2024-06-04T01:06:00
DEF-00388,AST-344,2024-10-17T00:00:00,INS-07985,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-11-08T01:10:00
DEF-00389,AST-344,2025-09-12T00:00:00,INS-07996,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-10-09T00:58:00
DEF-00390,AST-345,2024-08-14T00:00:00,INS-08019,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2024-08-17T01:31:00
DEF-00391,AST-345,2024-12-12T00:00:00,INS-08023,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2024-12-24T00:00:00
DEF-00393,AST-348,2025-10-16T00:00:00,INS-08093,REPETITIVE: Voltage Fluctuation,MINOR,No restriction,,CLOSED,2025-11-09T01:42:00
DEF-00394,AST-348,2025-12-15T00:00:00,INS-08095,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2025-12-20T02:18:00
DEF-00395,AST-348,2026-01-14T00:00:00,INS-08096,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2026-01-27T01:02:00
DEF-00396,AST-348,2026-06-13T00:00:00,INS-08101,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2026-07-03T00:36:00
DEF-00403,AST-356,2024-07-09T00:00:00,INS-08229,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-08-01T01:15:00
DEF-00404,AST-356,2025-06-04T00:00:00,INS-08240,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-06-15T01:11:00
DEF-00405,AST-356,2025-12-01T00:00:00,INS-08246,REPETITIVE: Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-12-28T01:15:00
DEF-00406,AST-356,2026-05-30T00:00:00,INS-08252,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2026-06-24T01:50:00
DEF-00407,AST-357,2026-02-10T00:00:00,INS-08285,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2026-02-25T01:10:00
DEF-00408,AST-358,2024-03-01T00:00:00,INS-08298,REPETITIVE: Poor Signal Aspect Visibility,MAJOR,Unstable aspect indication,Block Required,CLOSED,2024-03-08T00:00:00
DEF-00409,AST-358,2026-02-19T00:00:00,INS-08322,Poor Signal Aspect Visibility,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2026-02-19T04:27:00
DEF-00412,AST-362,2023-10-28T00:00:00,INS-08415,REPETITIVE: Voltage Fluctuation,MINOR,No restriction,,CLOSED,2023-11-21T01:43:00
DEF-00413,AST-362,2025-07-19T00:00:00,INS-08436,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-08-11T01:31:00
DEF-00414,AST-362,2025-09-17T00:00:00,INS-08438,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-10-09T00:56:00
DEF-00415,AST-364,2024-03-16T00:00:00,INS-08475,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-04-10T00:51:00
DEF-00416,AST-364,2025-05-10T00:00:00,INS-08489,REPETITIVE: Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-05-23T00:26:00
DEF-00417,AST-364,2025-12-06T00:00:00,INS-08496,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2025-12-18T01:10:00
DEF-00418,AST-364,2026-06-04T00:00:00,INS-08502,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2026-06-21T00:47:00
DEF-00419,AST-365,2024-02-13T00:00:00,INS-08510,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2024-02-13T10:05:00
DEF-00420,AST-365,2024-10-10T00:00:00,INS-08518,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2024-10-31T01:26:00
DEF-00424,AST-370,2023-08-15T00:00:00,INS-08594,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2023-09-13T01:06:00
DEF-00425,AST-370,2024-07-10T00:00:00,INS-08605,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2024-07-21T01:22:00
DEF-00426,AST-370,2025-08-04T00:00:00,INS-08618,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2025-08-04T12:35:00
DEF-00427,AST-370,2026-01-01T00:00:00,INS-08623,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2026-01-22T01:25:00
DEF-00428,AST-370,2026-07-30T00:00:00,INS-08630,REPETITIVE: Voltage Fluctuation,MINOR,No restriction,,OPEN,
DEF-00431,AST-373,2024-03-15T00:00:00,INS-08662,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-04-05T01:03:00
DEF-00432,AST-373,2024-11-10T00:00:00,INS-08670,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-11-21T01:24:00
DEF-00433,AST-374,2024-02-12T00:00:00,INS-08697,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2024-02-12T13:19:00
DEF-00434,AST-374,2024-07-11T00:00:00,INS-08702,Poor Signal Aspect Visibility,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2024-07-11T03:56:00
